mcpp_id,mcpp,pop
1,DOWNTOWN COMMERCIAL,99000
2,CAPITOL HILL,31205
3,NORTHGATE,46593
4,QUEEN ANNE,36000
5,SLU/CASCADE,29376
6,UNIVERSITY,7500
7,ROOSEVELT/RAVENNA,16000
8,BALLARD SOUTH,27116
9,FIRST HILL,7372
10,LAKECITY,34065
11,BELLTOWN,12223
12,CHINATOWN/INTERNATIONAL DISTRICT,8200
13,CENTRAL AREA/SQUIRE PARK,29868
14,GREENWOOD,18225
15,SANDPOINT,53729
16,BALLARD NORTH,36647
17,BITTERLAKE,8355
18,FREMONT,11345
19,WALLINGFORD,12210
20,NORTH BEACON HILL,11909
21,SODO,17430
22,PIONEER SQUARE,4133
23,MAGNOLIA,22890
24,ROXHILL/WESTWOOD/ARBORHEIGHTS,36000
25,BRIGHTON/DUNLAP,60000
26,ALASKA JUNCTION,28705
27,MOUNT BAKER,6280
28,GEORGETOWN,23800
29,MADRONA/LESCHI,48000
30,HIGHLAND PARK,7000
31,MID BEACON HILL,12709
32,RAINIER BEACH,6400
33,NORTH ADMIRAL,12205
34,RAINIER VIEW,914
35,JUDKINS PARK/NORTH BEACON HILL,18000
36,MORGAN,6000
37,SOUTH PARK,4154
38,UNKNOWN,
39,HIGH POINT,7364
40,PHINNEY RIDGE,10089
41,NORTH DELRIDGE,4715
42,MILLER PARK,31205
43,MONTLAKE/PORTAGE BAY,6700
44,COLUMBIA CITY,13000
45,EASTLAKE - WEST,8505
46,NEW HOLLY,5000
47,CLAREMONT/RAINIER VISTA,36000
48,LAKEWOOD/SEWARD PARK,63331
49,ALKI,27190
50,HILLMAN CITY,4352
51,SOUTH BEACON HILL,6400
52,FAUNTLEROW SW,2100
53,SOUTH DELRIDGE,9000
54,MADISON PARK,24412
55,GENESEE,3000
56,EASTLAKE - EAST,8500
57,PIGEON POINT,6000
58,COMMERCIAL DUWAMISH,1376
59,COMMERCIAL HARBOR ISLAND,10000
